Time	Price	Holding	Value	Funds	Shares	PeriodRate	ExpectedGain	TotalInput	Target	Diff	EndValue	Realized	TotalValue	Liquid	Profit
2020-05-10T23:00:45.906Z	8798.88	0	0	10	0.001134235266306621	0	0	10	10	-10	10	0	10	0	0.00%
2020-05-10T23:01:00.097Z	8798.75	0.00113424	9.98	10	0.0011342520244352892	6e-8	0	20	20	-10.02	19.98	0	19.98	-0.02	-0.10%
2020-05-10T23:02:00.185Z	8813.81	0.00226849	19.99	10	0.0011323139482244343	2.7e-7	0	30	30	-10.01	29.99	0	29.99	-0.01	-0.02%
2020-05-10T23:03:00.185Z	8821	0.0034008	30	10	0.0011313909987529759	2.7e-7	0	40	40	-10	40	0	40	0	-0.00%
2020-05-10T23:04:00.180Z	8825.93	0.00453219	40	10	0.0011307590248279785	2.7e-7	0	50	50	-10	50	0	50	0	0.00%
2020-05-10T23:05:00.161Z	8801.6	0.00566295	49.84	10	0.001133884748227595	2.7e-7	0	60	60	-10.16	59.84	0	59.84	-0.16	-0.26%
2020-05-10T23:06:00.193Z	8805.01	0.00679683	59.85	10	0.0011334456178925408	2.7e-7	0	70	70	-10.15	69.85	0	69.85	-0.15	-0.22%
2020-05-10T23:07:00.186Z	8797.46	0.00793028	69.77	10	0.0011344183434764128	2.7e-7	0	80	80	-10.23	79.77	0	79.77	-0.23	-0.29%
2020-05-10T23:08:00.109Z	8789.35	0.0090647	79.67	10	0.001135465079897831	2.7e-7	0	90	90	-10.33	89.67	0	89.67	-0.33	-0.36%
2020-05-10T23:09:00.172Z	8762.94	0.01020017	89.38	10	0.0011388871771346146	2.7e-7	0	100	100	-10.62	99.38	0	99.38	-0.62	-0.62%
2020-05-10T23:10:00.190Z	8745.93	0.01133906	99.17	10	0.0011411022041109408	2.7e-7	0	110	110	-10.83	109.17	0	109.17	-0.83	-0.75%
2020-05-10T23:11:00.175Z	8758.94	0.01248016	109.31	10	0.001139407279876332	2.7e-7	0	120	120	-10.69	119.31	0	119.31	-0.69	-0.57%
2020-05-12T22:31:28.537Z	8812.23	0.01361957	120.02	10	0.001132516967895754	0.00075509	0.0906	130	130.09	-10.07	130.02	0	130.02	0.02	0.01%
2020-05-12T22:35:02.352Z	8820	0.01475209	130.11	10	0.0011315192743764173	9.5e-7	0.0001	140	140.09	-9.98	140.11	0	140.11	0.11	0.08%
2020-05-12T22:36:00.154Z	8816.15	0.01588361	140.03	10	0.001132013407212899	2.6e-7	0	150	150.09	-10.06	150.03	0	150.03	0.03	0.02%
2020-05-12T22:37:00.154Z	8808.6	0.01701562	149.88	10	0.0011329836750448425	2.7e-7	0	160	160.09	-10.21	159.88	0	159.88	-0.12	-0.07%
2020-05-12T22:37:09.860Z	8808.27	0.0181486	159.86	10	0.0011330261220421263	4e-8	0	170	170.09	-10.23	169.86	0	169.86	-0.14	-0.08%
2020-05-12T22:37:42.839Z	8809.79	0.01928163	169.87	10	0.001132830635009461	1.5e-7	0	180	180.09	-10.22	179.87	0	179.87	-0.13	-0.07%
2020-05-12T22:38:00.380Z	8814.87	0.02041446	179.95	10	0.0011321777859457937	8e-8	0	190	190.09	-10.14	189.95	0	189.95	-0.05	-0.03%
2020-05-12T22:39:00.486Z	8805.83	0.02154664	189.74	10	0.0011333400712936772	2.7e-7	0.0001	200	200.09	-10.35	199.74	0	199.74	-0.26	-0.13%
2020-05-12T22:40:00.120Z	8817	0.02267998	199.97	10	0.0011319042758307816	2.6e-7	0.0001	210	210.09	-10.12	209.97	0	209.97	-0.03	-0.01%
2020-05-12T22:41:13.644Z	8820.6	0.02381188	210.04	10	0.0011314423055120966	3.3e-7	0.0001	220	220.09	-10.05	220.04	0	220.04	0.04	0.02%
2020-05-12T22:41:27.571Z	8820.59	0.02494332	220.01	10	0.001131443588240696	6e-8	0	230	230.09	-10.08	230.01	0	230.01	0.01	0.01%
2020-05-12T22:43:07.271Z	8813.49	0.02607476	229.81	10	0.00113236	4.4e-7	0.0001	240	240.09	-10.28	239.81	0	239.81	-0.19	-0.08%
2020-05-12T22:45:32.896Z	8824.5	0.02720712	240.09	10	0.00113094	6.4e-7	0.0002	250	250.09	-10	250.09	0	250.09	0.09	0.04%
