Time	Price	Holding	Value	Funds	Shares	PeriodRate	ExpectedGain	TotalInput	Target	Diff	EndValue	Realized	TotalValue	Liquid	Profit
2020-01-21T03:23:03.473Z	8656.29	0	0	10	0.00115292	0	0	10	10	-10	10	0	10	0	0
2020-01-21T03:24:03.473Z	8655.89	0.00115292	9.98	10	0.00115297	0.00000344	0	20	20	-10	19.98	0	19.98	-0.02	-0.10%
2020-01-21T03:25:03.473Z	8645.22	0.00230589	19.93	10	0.00115378	0.00000344	0	30	30	-10	29.93	0	29.93	-0.07	-0.22%
2020-01-21T03:26:02.704Z	8646.62	0.00345967	29.91	10	0.00115421	0.00000344	0	40	40	-10.02	39.91	0	39.91	-0.09	-0.12%
2020-01-21T03:27:02.162Z	8646.63	0.00461388	39.89	10	0.00115421	0.00000344	0	50	50	-10.04	49.89	0	49.89	-0.11	-0.15%
2020-01-21T03:28:02.535Z	8645.95	0.00576809	49.87	10	0.0011543	0.00000344	0	60	60	-10.07	59.87	0	59.87	-0.13	-0.16%
2020-01-21T03:29:01.562Z	8645.5	0.00692239	59.85	10	0.00115436	0.00000344	0	70	70	-10.09	69.85	0	69.85	-0.15	-0.18%
2020-01-21T03:30:02.972Z	8646.95	0.00807675	69.84	10	0.00115416	0.00000344	0	80	80	-10.1	79.84	0	79.84	-0.16	-0.17%
2020-01-21T03:31:03.212Z	8649.49	0.00923091	79.84	10	0.00115399	0.00000344	0	90	90	-10.1	89.84	0	89.84	-0.16	-0.15%
2020-01-21T03:32:02.504Z	8646.19	0.0103849	89.79	10	0.00115404	0.00000344	0	100	100	-10.15	99.79	0	99.79	-0.21	-0.18%
2020-01-21T03:33:02.693Z	8651.56	0.01153894	99.83	10	0.00115355	0.00000344	0	110	110	-10.12	109.83	0	109.83	-0.17	-0.13%
2020-01-21T04:35:02.496Z	8670	0.01269249	110.04	10	0.0011511	0.00001123	0	120	120	-9.96	120.04	0	120.04	0.04	0.04%
2020-01-21T08:35:01.001Z	8604.92	0.01384359	119.12	10	0.0011598	0.00004349	0.01	130	130.01	-10.88	129.12	0	129.12	-0.88	-0.67%
2020-01-21T12:35:00.606Z	8637.24	0.01500339	129.59	10	0.00115546	0.00004349	0.01	140	140.02	-10.43	139.59	0	139.59	-0.41	-0.29%
2020-01-21T16:35:00.194Z	8609.07	0.01615885	139.11	10	0.00115924	0.00004349	0.0061	150	150.03	-10.91	149.11	0	149.11	-0.89	-0.59%
2020-01-21T20:35:00.903Z	8670.71	0.01731809	150.16	10	0.001151	0.00004349	0.0065	160	160.04	-9.88	160.16	0	160.16	0.16	0.10%
2020-01-22T00:35:00.369Z	8729.04	0.01846909	161.22	10	0.00114331	0.00004349	0.007	170	170.05	-8.83	171.22	0	171.22	1.22	0.72%
2020-01-22T04:35:00.686Z	8712.76	0.0196124	170.88	10	0.00114545	0.00004349	0.0074	180	180.06	-9.18	180.88	0	180.88	0.88	0.49%
2020-01-22T08:35:00.617Z	8699.67	0.02075785	180.59	10	0.0011472	0.00004349	0.0078	190	190.07	-9.48	190.59	0	190.59	0.59	0.31%
2020-01-22T12:35:00.641Z	8644.44	0.02190505	189.36	10	0.00115429	0.00004349	0.0083	200	200.08	-10.72	199.36	0	199.36	-0.64	-0.32%
2020-01-22T16:35:00.284Z	8623.56	0.02305934	198.85	10	0.00115729	0.00004349	0.0087	210	210.09	-11.24	208.85	0	208.85	-1.15	-0.55%
2020-01-22T20:35:01.030Z	8637.01	0.02421663	209.16	10	0.00115549	0.00004349	0.0091	220	220.1	-10.94	219.16	0	219.16	-0.84	-0.38%
2020-01-23T00:35:00.621Z	8623.68	0.02537212	218.8	10	0.00115733	0.00004349	0.0096	230	230.11	-11.31	228.8	0	228.8	-1.2	-0.52%
2020-01-23T04:35:00.710Z	8568.68	0.02652945	227.32	10	0.00116471	0.00004349	0.01	240	240.12	-12.8	237.32	0	237.32	-2.68	-1.12%
2020-01-23T08:35:00.613Z	8552.06	0.02769416	236.84	10	0.00116621	0.00004349	0.0104	250	250.13	-13.29	246.84	0	246.84	-3.16	-1.26%
2020-01-23T12:35:00.625Z	8387.89	0.02886037	242.08	10	0.00118981	0.00004349	0.0109	260	260.14	-18.06	252.08	0	252.08	-7.92	-3.05%
2020-01-23T16:35:00.703Z	8312.49	0.03005018	249.79	10	0.0012006	0.00004349	0.0113	270	270.15	-20.36	259.79	0	259.79	-10.21	-3.78%
2020-01-23T20:35:00.613Z	8347.58	0.03125078	260.87	10	0.00119556	0.00004349	0.0117	280	280.16	-19.29	270.87	0	270.87	-9.13	-3.26%
2020-01-24T00:35:00.742Z	8385.01	0.03244634	272.06	10	0.00119022	0.00004349	0.0122	290	290.17	-18.11	282.06	0	282.06	-7.94	-2.74%
