Time	Price	Holding	Value	Funds	Shares	PeriodRate	ExpectedGain	TotalInput	Target	Diff	EndValue	Realized	TotalValue	Liquid	Profit
2020-05-10T23:00:45.875Z	0.00479	0	0	0.01	2.083507306889353	0	0	0.01	0.01	-0.01	0.01	0	0.01	0	0.00%
2020-05-10T23:01:00.177Z	0.00479	2.08350731	0.01	0.01	2.083507306889353	6e-8	0	0.02	0.02	-0.01	0.02	0	0.02	0	-0.10%
2020-05-10T23:02:00.177Z	0.004783	4.16701462	0.02	0.01	2.086556554463726	2.7e-7	0	0.03	0.03	-0.01	0.03	0	0.03	0	-0.23%
2020-05-10T23:03:00.177Z	0.004783	6.25357117	0.03	0.01	2.086556554463726	2.7e-7	0	0.04	0.04	-0.01	0.04	0	0.04	0	-0.22%
2020-05-10T23:04:00.179Z	0.004782	8.34012772	0.04	0.01	2.0869928900041828	2.7e-7	0	0.05	0.05	-0.01	0.05	0	0.05	0	-0.24%
2020-05-10T23:05:00.177Z	0.004777	10.42712061	0.05	0.01	2.08917730793385	2.7e-7	0	0.060000000000000005	0.06	-0.01	0.06	0	0.06	0	-0.32%
2020-05-10T23:06:00.190Z	0.004783	12.51629792	0.06	0.01	2.086556554463726	2.7e-7	0	0.07	0.07	-0.01	0.07	0	0.07	0	-0.19%
2020-05-10T23:07:00.183Z	0.004783	14.60285447	0.07	0.01	2.086556554463726	2.7e-7	0	0.08	0.08	-0.01	0.08	0	0.08	0	-0.19%
2020-05-10T23:08:00.444Z	0.004785	16.68941102	0.08	0.01	2.085684430512017	2.7e-7	0	0.09	0.09	-0.01	0.09	0	0.09	0	-0.16%
2020-05-10T23:09:00.195Z	0.004789	18.77509545	0.09	0.01	2.0839423679264986	2.6e-7	0	0.09999999999999999	0.1	-0.01	0.1	0	0.1	0	-0.09%
2020-05-10T23:10:00.196Z	0.004789	20.85903782	0.1	0.01	2.0839423679264986	2.7e-7	0	0.10999999999999999	0.11	-0.01	0.11	0	0.11	0	-0.10%
2020-05-10T23:11:00.187Z	0.004789	22.94298019	0.11	0.01	2.0839423679264986	2.7e-7	0	0.11999999999999998	0.12	-0.01	0.12	0	0.12	0	-0.11%
