Time	Price	Holding	Value	Funds	Shares	PeriodRate	ExpectedGain	TotalInput	Target	Diff	EndValue	Realized	TotalValue	Liquid	Profit
2020-05-10T23:00:45.953Z	42.14	0	0	10	0.2368296155671571	0	0	10	10	-10	10	0	10	0	0.00%
2020-05-10T23:01:00.099Z	42.14	0.23682962	9.98	10	0.2368296155671571	6e-8	0	20	20	-10.02	19.98	0	19.98	-0.02	-0.10%
2020-05-10T23:02:00.092Z	42.2	0.47365924	19.99	10	0.23649289099526066	2.7e-7	0	30	30	-10.01	29.99	0	29.99	-0.01	-0.04%
2020-05-10T23:03:00.427Z	42.2	0.71015213	29.97	10	0.23649289099526066	2.7e-7	0	40	40	-10.03	39.97	0	39.97	-0.03	-0.08%
2020-05-10T23:04:00.175Z	42.2	0.94664502	39.95	10	0.23649289099526066	2.6e-7	0	50	50	-10.05	49.95	0	49.95	-0.05	-0.10%
2020-05-10T23:05:00.172Z	42.15	1.18313791	49.87	10	0.236773428232503	2.7e-7	0	60	60	-10.13	59.87	0	59.87	-0.13	-0.22%
2020-05-10T23:06:00.196Z	42.11	1.41991134	59.79	10	0.23699833768701023	2.7e-7	0	70	70	-10.21	69.79	0	69.79	-0.21	-0.30%
2020-05-10T23:07:00.180Z	42.09	1.65690968	69.74	10	0.23711095272036112	2.7e-7	0	80	80	-10.26	79.74	0	79.74	-0.26	-0.33%
2020-05-10T23:08:00.109Z	42.12	1.89402063	79.78	10	0.23694207027540362	2.7e-7	0	90	90	-10.22	89.78	0	89.78	-0.22	-0.25%
2020-05-10T23:09:00.179Z	42.01	2.1309627	89.52	10	0.23756248512258987	2.7e-7	0	100	100	-10.48	99.52	0	99.52	-0.48	-0.48%
2020-05-10T23:10:00.175Z	42	2.36852519	99.48	10	0.23761904761904762	2.7e-7	0	110	110	-10.52	109.48	0	109.48	-0.52	-0.47%
2020-05-10T23:11:00.177Z	42.04	2.60614424	109.56	10	0.23739295908658423	2.7e-7	0	120	120	-10.44	119.56	0	119.56	-0.44	-0.36%
