Time	Price	Holding	Value	Funds	Shares	PeriodRate	ExpectedGain	TotalInput	Target	Diff	EndValue	Realized	TotalValue	Liquid	Profit
2020-05-10T23:00:46.042Z	2.5699	0	0	10	3.8834195883108293	0	0	10	10	-10	10	0	10	0	0.00%
2020-05-10T23:01:00.175Z	2.5743	3.88341959	10	10	3.8767820378355284	6e-8	0	20	20	-10	20	0	20	0	-0.01%
2020-05-10T23:02:00.179Z	2.5745	7.76020163	19.98	10	3.876480870071859	2.7e-7	0	30	30	-10.02	29.98	0	29.98	-0.02	-0.07%
2020-05-10T23:03:00.187Z	2.5725	11.6366825	29.94	10	3.8794946550048595	2.7e-7	0	40	40	-10.06	39.94	0	39.94	-0.06	-0.16%
2020-05-10T23:04:00.184Z	2.5783	15.51617716	40.01	10	3.8707675600201683	2.7e-7	0	50	50	-9.99	50.01	0	50.01	0.01	0.01%
2020-05-10T23:05:00.173Z	2.5767	19.38694472	49.95	10	3.8731711103349244	2.7e-7	0	60	60	-10.05	59.95	0	59.95	-0.05	-0.08%
2020-05-10T23:06:00.110Z	2.5684	23.26011583	59.74	10	3.885687587603177	2.7e-7	0	70	70	-10.26	69.74	0	69.74	-0.26	-0.37%
2020-05-10T23:07:00.192Z	2.5738	27.14580342	69.87	10	3.877535162017251	2.7e-7	0	80	80	-10.13	79.87	0	79.87	-0.13	-0.17%
2020-05-10T23:08:00.191Z	2.564	31.02333858	79.54	10	3.8923556942277693	2.7e-7	0	90	90	-10.46	89.54	0	89.54	-0.46	-0.51%
2020-05-10T23:09:00.179Z	2.5605	34.91569427	89.4	10	3.89767623511033	2.7e-7	0	100	100	-10.6	99.4	0	99.4	-0.6	-0.60%
2020-05-10T23:10:00.192Z	2.5568	38.81337051	99.24	10	3.9033166458072595	2.7e-7	0	110	110	-10.76	109.24	0	109.24	-0.76	-0.69%
2020-05-10T23:11:00.185Z	2.5594	42.71668716	109.33	10	3.8993514104868328	2.7e-7	0	120	120	-10.67	119.33	0	119.33	-0.67	-0.56%
